BOROUGH,Year,Geo Place Name,Name,Measure,Measure Info,Data_Value,Pollutant_Change,Pollutant_Rate_Change,Stations,Total_Level2,Total_DCFC,Public_Pct,Avg_Level2_Per_Station,Avg_DCFC_Per_Station,EV_Growth_Rate,EV_Station_Density,Chargers_Per_Station,Level2_to_DCFC_Ratio,Time_Since_EV_Adoption
MANHATTAN,2014,Chelsea - Clinton,Fine particles (PM 2.5),Mean,mcg/m3,11.8,-0.5999999999999996,-0.04838709677419352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BRONX,2014,High Bridge - Morrisania,Nitrogen dioxide (NO2),Mean,ppb,18.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BRONX,2014,Morris Park and Bronxdale (CD11),Fine particles (PM 2.5),Mean,mcg/m3,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BROOKLYN,2014,East New York and Starrett City (CD5),Fine particles (PM 2.5),Mean,mcg/m3,9.1,-0.3000000000000007,-0.03191489361702135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
MANHATTAN,2014,Central Harlem - Morningside Heights,Nitrogen dioxide (NO2),Mean,ppb,26.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
MANHATTAN,2014,Chelsea - Clinton,Nitrogen dioxide (NO2),Mean,ppb,28.4,1.6999999999999993,0.0636704119850187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
QUEENS,2014,Queens Village (CD13),Fine particles (PM 2.5),Mean,mcg/m3,8.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
QUEENS,2014,Queens Village (CD13),Nitrogen dioxide (NO2),Mean,ppb,22.8,-1.1999999999999993,-0.04999999999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BRONX,2014,Morris Park and Bronxdale (CD11),Nitrogen dioxide (NO2),Mean,ppb,23.6,5.300000000000001,0.28961748633879786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BROOKLYN,2014,Brooklyn,Nitrogen dioxide (NO2),Mean,ppb,14.5,-2.5,-0.14705882352941177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BRONX,2014,Bronx,Nitrogen dioxide (NO2),Mean,ppb,23.9,0.29999999999999716,0.01271186440677954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BROOKLYN,2014,Brooklyn,Nitrogen dioxide (NO2),Mean,ppb,25.3,10.8,0.7448275862068966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BROOKLYN,2014,East New York and Starrett City (CD5),Nitrogen dioxide (NO2),Mean,ppb,13.7,-11.600000000000001,-0.45849802371541504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BROOKLYN,2014,East New York and Starrett City (CD5),Nitrogen dioxide (NO2),Mean,ppb,24.7,11,0.8029197080291971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
QUEENS,2014,Flushing - Clearview,Nitrogen dioxide (NO2),Mean,ppb,24,1.1999999999999993,0.05263157894736839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BRONX,2014,Northeast Bronx,Nitrogen dioxide (NO2),Mean,ppb,23.4,-0.5,-0.020920502092050212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BRONX,2014,Kingsbridge Heights and Bedford (CD7),Nitrogen dioxide (NO2),Mean,ppb,17.1,-6.299999999999997,-0.2692307692307691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
QUEENS,2014,Southeast Queens,Nitrogen dioxide (NO2),Mean,ppb,22.7,-1.3000000000000007,-0.054166666666666696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
MANHATTAN,2014,Clinton and Chelsea (CD4),Fine particles (PM 2.5),Mean,mcg/m3,11.5,-0.3000000000000007,-0.02542372881355938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
MANHATTAN,2014,Clinton and Chelsea (CD4),Nitrogen dioxide (NO2),Mean,ppb,30.7,2.3000000000000007,0.08098591549295778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
MANHATTAN,2014,Central Harlem - Morningside Heights,Fine particles (PM 2.5),Mean,mcg/m3,10.2,-1.3000000000000007,-0.11304347826086962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BROOKLYN,2014,East New York and Starrett City (CD5),Fine particles (PM 2.5),Mean,mcg/m3,8.7,-0.40000000000000036,-0.043956043956043994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
QUEENS,2014,Queens,Nitrogen dioxide (NO2),Mean,ppb,13.7,-9,-0.39647577092511016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
QUEENS,2014,Southeast Queens,Fine particles (PM 2.5),Mean,mcg/m3,8.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BROOKLYN,2014,Fort Greene and Brooklyn Heights (CD2),Nitrogen dioxide (NO2),Mean,ppb,18.6,-6.099999999999998,-0.24696356275303635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
MANHATTAN,2014,Manhattan,Nitrogen dioxide (NO2),Mean,ppb,22.7,-8,-0.26058631921824105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BROOKLYN,2014,East New York,Fine particles (PM 2.5),Mean,mcg/m3,9.1,0.40000000000000036,0.04597701149425292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BRONX,2014,Northeast Bronx,Fine particles (PM 2.5),Mean,mcg/m3,8.7,-1.200000000000001,-0.12121212121212131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BRONX,2014,Northeast Bronx,Nitrogen dioxide (NO2),Mean,ppb,15.4,-1.700000000000001,-0.09941520467836262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BRONX,2014,Fordham and University Heights (CD5),Nitrogen dioxide (NO2),Mean,ppb,18.8,3.4000000000000004,0.2207792207792208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
MANHATTAN,2014,Manhattan,Nitrogen dioxide (NO2),Mean,ppb,28.7,6,0.2643171806167401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BRONX,2014,Kingsbridge Heights and Bedford (CD7),Fine particles (PM 2.5),Mean,mcg/m3,9,0.3000000000000007,0.03448275862068974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
STATEN ISLAND,2014,St. George and Stapleton (CD1),Nitrogen dioxide (NO2),Mean,ppb,22.5,NA,NA,1,1,0,0,1,NA,NA,0.017241379310344827,1,NA,0
BROOKLYN,2014,Bedford Stuyvesant - Crown Heights,Fine particles (PM 2.5),Mean,mcg/m3,9.1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
MANHATTAN,2014,East Harlem,Fine particles (PM 2.5),Mean,mcg/m3,8.9,-1.299999999999999,-0.12745098039215677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
STATEN ISLAND,2014,Staten Island,Nitrogen dioxide (NO2),Mean,ppb,19.8,-2.6999999999999993,-0.11999999999999997,1,1,0,0,1,NA,NA,0.017241379310344827,1,NA,0
STATEN ISLAND,2014,Staten Island,Fine particles (PM 2.5),Mean,mcg/m3,8.4,NA,NA,1,1,0,0,1,NA,NA,0.017241379310344827,1,NA,0
BROOKLYN,2014,Williamsburg - Bushwick,Fine particles (PM 2.5),Mean,mcg/m3,10,0.9000000000000004,0.09890109890109894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BROOKLYN,2014,East New York,Nitrogen dioxide (NO2),Mean,ppb,25,6.399999999999999,0.34408602150537626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
QUEENS,2014,Southwest Queens,Fine particles (PM 2.5),Mean,mcg/m3,8.1,-0.09999999999999964,-0.01219512195121947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
QUEENS,2014,Jamaica and Hollis (CD12),Fine particles (PM 2.5),Mean,mcg/m3,8.1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
STATEN ISLAND,2014,Staten Island,Nitrogen dioxide (NO2),Mean,ppb,9.3,-10.5,-0.5303030303030303,1,1,0,0,1,NA,NA,0.017241379310344827,1,NA,0
STATEN ISLAND,2014,St. George and Stapleton (CD1),Nitrogen dioxide (NO2),Mean,ppb,12.5,3.1999999999999993,0.34408602150537626,1,1,0,0,1,NA,NA,0.017241379310344827,1,NA,0
BROOKLYN,2014,Fort Greene and Brooklyn Heights (CD2),Fine particles (PM 2.5),Mean,mcg/m3,9.9,-0.09999999999999964,-0.009999999999999964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
STATEN ISLAND,2014,St. George and Stapleton (CD1),Fine particles (PM 2.5),Mean,mcg/m3,8.7,0.29999999999999893,0.03571428571428559,1,1,0,0,1,NA,NA,0.017241379310344827,1,NA,0
MANHATTAN,2014,Lower Manhattan,Fine particles (PM 2.5),Mean,mcg/m3,10.9,2,0.2247191011235955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BRONX,2014,Fordham - Bronx Pk,Nitrogen dioxide (NO2),Mean,ppb,15.8,-3,-0.15957446808510636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
STATEN ISLAND,2014,St. George and Stapleton (CD1),Fine particles (PM 2.5),Mean,mcg/m3,8.2,-0.5,-0.0574712643678161,1,1,0,0,1,NA,NA,0.017241379310344827,1,NA,0
BRONX,2014,Fordham - Bronx Pk,Fine particles (PM 2.5),Mean,mcg/m3,8.8,-0.1999999999999993,-0.022222222222222143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BRONX,2014,Fordham - Bronx Pk,Fine particles (PM 2.5),Mean,mcg/m3,8.8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
MANHATTAN,2014,East Harlem,Fine particles (PM 2.5),Mean,mcg/m3,9.3,-1.5999999999999996,-0.14678899082568803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BRONX,2014,Kingsbridge - Riverdale,Nitrogen dioxide (NO2),Mean,ppb,13.6,-2.200000000000001,-0.13924050632911397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
QUEENS,2014,Flushing - Clearview,Fine particles (PM 2.5),Mean,mcg/m3,9.2,1.0999999999999996,0.13580246913580243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BROOKLYN,2014,East New York,Fine particles (PM 2.5),Mean,mcg/m3,9.1,-0.8000000000000007,-0.08080808080808087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BROOKLYN,2014,Bedford Stuyvesant - Crown Heights,Fine particles (PM 2.5),Mean,mcg/m3,9,-0.09999999999999964,-0.01098901098901095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BRONX,2014,Kingsbridge - Riverdale,Fine particles (PM 2.5),Mean,mcg/m3,8.7,-0.10000000000000142,-0.011363636363636524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BROOKLYN,2014,Bedford Stuyvesant - Crown Heights,Nitrogen dioxide (NO2),Mean,ppb,16.5,-8.5,-0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
MANHATTAN,2014,East Harlem,Nitrogen dioxide (NO2),Mean,ppb,19.2,-9.5,-0.3310104529616725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
QUEENS,2014,Flushing - Clearview,Nitrogen dioxide (NO2),Mean,ppb,14.6,0.9000000000000004,0.06569343065693434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BRONX,2014,Fordham - Bronx Pk,Nitrogen dioxide (NO2),Mean,ppb,15.8,2.200000000000001,0.16176470588235303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BRONX,2014,Bronx,Fine particles (PM 2.5),Mean,mcg/m3,10.2,1.5,0.1724137931034483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BROOKLYN,2014,Brooklyn,Fine particles (PM 2.5),Mean,mcg/m3,9,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BROOKLYN,2014,Brooklyn,Fine particles (PM 2.5),Mean,mcg/m3,8.8,-0.1999999999999993,-0.022222222222222143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BRONX,2014,Morrisania and Crotona (CD3),Nitrogen dioxide (NO2),Mean,ppb,25.2,9.399999999999999,0.5949367088607593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
MANHATTAN,2014,Chelsea - Clinton,Fine particles (PM 2.5),Mean,mcg/m3,12.1,2.799999999999999,0.30107526881720414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
MANHATTAN,2014,East Harlem,Fine particles (PM 2.5),Mean,mcg/m3,10.3,-1.799999999999999,-0.14876033057851232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BRONX,2014,Fordham - Bronx Pk,Fine particles (PM 2.5),Mean,mcg/m3,10.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BROOKLYN,2014,Fort Greene and Brooklyn Heights (CD2),Nitrogen dioxide (NO2),Mean,ppb,27.4,10.899999999999999,0.6606060606060605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BRONX,2014,Kingsbridge Heights and Bedford (CD7),Nitrogen dioxide (NO2),Mean,ppb,24.4,-0.8000000000000007,-0.03174603174603177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BRONX,2014,Bronx,Fine particles (PM 2.5),Mean,mcg/m3,8.9,-1.299999999999999,-0.12745098039215677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BRONX,2014,High Bridge - Morrisania,Fine particles (PM 2.5),Mean,mcg/m3,10.6,1.6999999999999993,0.1910112359550561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BRONX,2014,Kingsbridge - Riverdale,Fine particles (PM 2.5),Mean,mcg/m3,10.2,-0.40000000000000036,-0.03773584905660381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
QUEENS,2014,Long Island City - Astoria,Nitrogen dioxide (NO2),Mean,ppb,16.9,2.299999999999999,0.1575342465753424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
MANHATTAN,2014,East Harlem (CD11),Nitrogen dioxide (NO2),Mean,ppb,26.9,7.699999999999999,0.40104166666666663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
QUEENS,2014,West Queens,Fine particles (PM 2.5),Mean,mcg/m3,9.9,0.7000000000000011,0.07608695652173925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BRONX,2014,Northeast Bronx,Fine particles (PM 2.5),Mean,mcg/m3,10.1,-0.09999999999999964,-0.009803921568627416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
MANHATTAN,2014,Central Harlem - Morningside Heights,Fine particles (PM 2.5),Mean,mcg/m3,9.1,-1.200000000000001,-0.11650485436893214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
QUEENS,2014,West Queens,Fine particles (PM 2.5),Mean,mcg/m3,9.1,-0.8000000000000007,-0.08080808080808087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
QUEENS,2014,Long Island City - Astoria,Fine particles (PM 2.5),Mean,mcg/m3,9.6,0.5,0.054945054945054944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
QUEENS,2014,Flushing - Clearview,Fine particles (PM 2.5),Mean,mcg/m3,9.2,-0.40000000000000036,-0.041666666666666706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
MANHATTAN,2014,Central Harlem - Morningside Heights,Fine particles (PM 2.5),Mean,mcg/m3,10.2,1.0999999999999996,0.12087912087912084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BROOKLYN,2014,Fort Greene and Brooklyn Heights (CD2),Fine particles (PM 2.5),Mean,mcg/m3,10,1.1999999999999993,0.13636363636363627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
QUEENS,2014,Long Island City and Astoria (CD1),Fine particles (PM 2.5),Mean,mcg/m3,8.8,-0.3999999999999986,-0.043478260869565064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BRONX,2014,Fordham and University Heights (CD5),Fine particles (PM 2.5),Mean,mcg/m3,9.5,-0.5999999999999996,-0.059405940594059375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
MANHATTAN,2014,Central Harlem - Morningside Heights,Nitrogen dioxide (NO2),Mean,ppb,26.7,-0.1999999999999993,-0.007434944237918189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BROOKLYN,2014,Fort Greene and Brooklyn Heights (CD2),Ozone (O3),Mean,ppb,28.9,-3.1000000000000014,-0.09687500000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
STATEN ISLAND,2014,St. George and Stapleton (CD1),Ozone (O3),Mean,ppb,30.3,NA,NA,1,1,0,0,1,NA,NA,0.017241379310344827,1,NA,0
MANHATTAN,2014,Central Harlem (CD10),Fine particles (PM 2.5),Mean,mcg/m3,9.1,-1.0999999999999996,-0.10784313725490194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BRONX,2014,Kingsbridge - Riverdale,Ozone (O3),Mean,ppb,30.5,-0.1999999999999993,-0.006514657980456003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
QUEENS,2014,Long Island City - Astoria,Ozone (O3),Mean,ppb,30.7,-1.3000000000000007,-0.04062500000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
QUEENS,2014,Long Island City - Astoria,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BRONX,2014,Kingsbridge Heights and Bedford (CD7),Fine particles (PM 2.5),Mean,mcg/m3,10.4,0.9000000000000004,0.09473684210526319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
QUEENS,2014,Flushing and Whitestone (CD7),Fine particles (PM 2.5),Mean,mcg/m3,9.3,0.5,0.056818181818181816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
QUEENS,2014,Flushing and Whitestone (CD7),Fine particles (PM 2.5),Mean,mcg/m3,8.2,-1.1000000000000014,-0.11827956989247326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BRONX,2014,Kingsbridge Heights and Bedford (CD7),Ozone (O3),Mean,ppb,30.3,-0.1999999999999993,-0.0065573770491803044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
QUEENS,2014,Flushing and Whitestone (CD7),Ozone (O3),Mean,ppb,32,1.3000000000000007,0.042345276872964195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
MANHATTAN,2014,Manhattan,Ozone (O3),Mean,ppb,27,1.6999999999999993,0.06719367588932804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BRONX,2014,High Bridge - Morrisania,Ozone (O3),Mean,ppb,29.9,-0.40000000000000213,-0.013201320132013271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
QUEENS,2014,Southeast Queens,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,1.4,-0.30000000000000004,-0.17647058823529416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
MANHATTAN,2014,East Harlem (CD11),Fine particles (PM 2.5),Mean,mcg/m3,10.3,1.200000000000001,0.13186813186813198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BROOKLYN,2014,East New York,Nitrogen dioxide (NO2),Mean,ppb,25,-2.3999999999999986,-0.08759124087591236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
MANHATTAN,2014,East Harlem,Nitrogen dioxide (NO2),Mean,ppb,27,0.3000000000000007,0.011235955056179803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BRONX,2014,Fordham - Bronx Pk,Nitrogen dioxide (NO2),Mean,ppb,23.3,-1.0999999999999979,-0.04508196721311467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BROOKLYN,2014,Bedford Stuyvesant - Crown Heights,Ozone (O3),Mean,ppb,30.3,1.4000000000000021,0.04844290657439454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BRONX,2014,Fordham - Bronx Pk,Ozone (O3),Mean,ppb,30.7,0.8000000000000007,0.02675585284280939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
MANHATTAN,2014,East Harlem,Ozone (O3),Mean,ppb,28.9,1.8999999999999986,0.07037037037037032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BROOKLYN,2014,East New York and Starrett City (CD5),Ozone (O3),Mean,ppb,32.3,1.9999999999999964,0.06600660066006589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BRONX,2014,Fordham and University Heights (CD5),Ozone (O3),Mean,ppb,29.7,-1,-0.03257328990228013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BRONX,2014,Northeast Bronx,Ozone (O3),Mean,ppb,31.5,1.8000000000000007,0.06060606060606063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
MANHATTAN,2014,Chelsea - Clinton,Ozone (O3),Mean,ppb,24.6,-4.299999999999997,-0.14878892733564006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
MANHATTAN,2014,Chelsea - Clinton,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BRONX,2014,Northeast Bronx,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
MANHATTAN,2014,Central Harlem - Morningside Heights,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,1.7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BROOKLYN,2014,Bushwick (CD4),Nitrogen dioxide (NO2),Mean,ppb,25.8,0.8000000000000007,0.03200000000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
MANHATTAN,2014,Gramercy Park - Murray Hill,Fine particles (PM 2.5),Mean,mcg/m3,12.6,2.299999999999999,0.22330097087378628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
MANHATTAN,2014,Central Harlem (CD10),Fine particles (PM 2.5),Mean,mcg/m3,10.2,-2.4000000000000004,-0.19047619047619052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
QUEENS,2014,Queens,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,1.4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BRONX,2014,South Bronx,Nitrogen dioxide (NO2),Mean,ppb,25.5,2.1999999999999993,0.09442060085836906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
MANHATTAN,2014,East Harlem (CD11),Ozone (O3),Mean,ppb,29,4.399999999999999,0.1788617886178861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
MANHATTAN,2014,Manhattan,Fine particles (PM 2.5),Mean,mcg/m3,10.3,0.10000000000000142,0.009803921568627591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
QUEENS,2014,Long Island City and Astoria (CD1),Nitrogen dioxide (NO2),Mean,ppb,16.1,-0.7999999999999972,-0.04733727810650871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BROOKLYN,2014,East New York,Fine particles (PM 2.5),Mean,mcg/m3,8.1,-1.9000000000000004,-0.19000000000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BRONX,2014,High Bridge - Morrisania,Nitrogen dioxide (NO2),Mean,ppb,26,0.5,0.0196078431372549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
QUEENS,2014,Long Island City and Astoria (CD1),Nitrogen dioxide (NO2),Mean,ppb,25.4,9.299999999999997,0.5776397515527948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
QUEENS,2014,Jamaica,Fine particles (PM 2.5),Mean,mcg/m3,8.1,-0.09999999999999964,-0.01219512195121947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
QUEENS,2014,Jamaica and Hollis (CD12),Nitrogen dioxide (NO2),Mean,ppb,24.1,-1.2999999999999972,-0.05118110236220461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BROOKLYN,2014,Bedford Stuyvesant (CD3),Fine particles (PM 2.5),Mean,mcg/m3,9.1,1,0.1234567901234568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
